anime_id,title,type,source,episodes,duration_min,score,studio,genre,start,finish
3290,Vampiyan Kids,TV,Original,23,23.0,6.3,Production I.G,"Fantasy, Comedy, Kids",2001-10-13,2002-03-30
34745,Mahoujin Guruguru (2017),TV,Manga,24,24.0,7.96,Production I.G,"Adventure, Fantasy, Magic, Comedy, Shounen",2017-07-11,2017-12-20
11799,Midori no Neko,OVA,Manga,1,24.0,5.55,Tezuka Productions,Mystery,1983-10-01,1983-10-01
12673,Papa no Iukoto wo Kikinasai!: Pokkapoka,Special,Light novel,1,24.0,7.26,feel.,"Comedy, Romance, Slice of Life",2012-07-11,2012-07-11
3760,Grimm Douwa: Kin no Tori,Movie,Other,1,52.0,6.98,"Madhouse, Toei Animation","Adventure, Fantasy",1987-03-14,1987-03-14
886,Amaenaide yo!! Katsu!!,TV,Manga,12,24.0,6.83,Studio Deen,"Comedy, Ecchi, Harem, Romance, Supernatural",2006-01-04,2006-03-22
33002,Panpaka Pants W-O-New!,TV,Original,26,5.0,4.31,DLE,"Comedy, Kids",2016-04-02,2016-10-15
405,Blood: The Last Vampire,Movie,Original,1,48.0,6.98,Production I.G,"Horror, Supernatural, Vampire",2000-11-18,2000-11-18
20365,Another: Misaki Mei - Shizukani,Music,Novel,1,4.0,6.26,P.A. Works,Music,2013-03-29,2013-03-29
26015,Backkom: Jung-gug Gijeogwi,Special,Original,1,0.5166666666666667,5.61,RG Animation Studios,"Comedy, Kids",,
32920,Yongshi,Movie,Other,1,50.0,6.0,Shanghai Animation Film Studio,"Historical, Martial Arts",,
183,Whistle!,TV,Manga,39,24.0,7.5,Studio Comet,"School, Shounen, Sports",2002-05-06,2003-02-03
19511,Naruto Shippuuden: Sunny Side Battle,Special,Original,1,11.0,7.38,Studio Pierrot,"Action, Comedy, Super Power, Martial Arts, Shounen",2013-10-06,2013-10-06
34420,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,ONA,Light novel,0,14.0,6.51,Sunrise,Fantasy,2018-04-13,
19109,Fate/kaleid liner Prisma☆Illya Specials,Special,Manga,5,5.0,6.88,Silver Link.,"Comedy, Magic, Ecchi, Fantasy",2013-09-27,2014-01-31
3009,Tiger Mask,TV,Manga,105,23.0,7.34,Toei Animation,"Action, Drama, Shounen, Sports",1969-10-02,1971-09-30
6959,GA: Geijutsuka Art Design Class OVA,OVA,4-koma manga,1,24.0,7.17,AIC Plus+,"Slice of Life, Comedy, School, Seinen",2010-04-02,2010-04-02
2263,Sonic★the★Hedgehog,OVA,Game,2,30.0,6.86,Studio Pierrot,"Adventure, Comedy, Sci-Fi, Shounen",1996-01-26,1996-01-26
4156,Ichigo Mashimaro Episode 0,Special,4-koma manga,1,4.0,7.17,Daume,Comedy,2005-06-08,2005-06-08
1224,Aquarian Age: Sign for Evolution,TV,Original,13,24.0,6.2,Madhouse,"Action, Adventure, Fantasy, Music, Romance, Sci-Fi, Shounen, Super Power, Supernatural",2002-01-11,2002-03-29
9100,Umi Monogatari: Marin no Kore Naani?,Special,Game,4,2.0,6.34,Zexcs,Comedy,2009-11-22,2010-02-24
6114,Rainbow: Nisha Rokubou no Shichinin,TV,Manga,26,22.0,8.59,Madhouse,"Drama, Historical, Seinen, Thriller",2010-04-07,2010-09-29
8450,Guskou Budori no Denki,Movie,Novel,1,85.0,6.38,Animaruya,Drama,1994-07-16,1994-07-16
36828,Caligula,TV,Game,0,23.0,6.42,Satelight,"Action, Sci-Fi",2018-04-08,
788,Eiken: Eikenbu yori Ai wo Komete,OVA,Manga,2,30.0,4.56,J.C.Staff,"Ecchi, Comedy, Harem, School",2003-06-25,2004-06-23
